id,time,temperature_2m,relative_humidity_2m,wind_speed_10m,data_type,relative_humidity_6m,temperature_4m,wind_speed_15m,temperature_5m,relative_humidity_4m,wind_speed_12m,temperature_7m
1,2025-10-23 11:30:00.000000,15.4,72.78859060402685,14.3,current,0,0,0,0,0,0,0
2,2025-10-24 08:17:35.886067,11.9,95.0,6.8,hourly,0,0,0,0,0,0,0
3,2025-10-24 08:17:35.886067,11.4,94.0,7.9,hourly,0,0,0,0,0,0,0
4,2025-10-24 08:17:35.886067,11.1,93.0,8.4,hourly,0,0,0,0,0,0,0
5,2025-10-24 08:17:35.886067,10.7,92.0,9.2,hourly,0,0,0,0,0,0,0
6,2025-10-24 08:17:35.886067,10.7,91.0,10.7,hourly,0,0,0,0,0,0,0
7,2025-10-24 08:17:35.886067,10.8,92.0,11.5,hourly,0,0,0,0,0,0,0
8,2025-10-24 08:17:35.886067,11.0,94.0,11.7,hourly,0,0,0,0,0,0,0
9,2025-10-24 08:17:35.886067,11.5,93.0,12.2,hourly,0,0,0,0,0,0,0
10,2025-10-24 08:17:35.886067,12.6,89.0,13.0,hourly,0,0,0,0,0,0,0
11,2025-10-24 08:17:35.886067,14.0,85.0,12.5,hourly,0,0,0,0,0,0,0
12,2025-10-24 08:17:35.886067,15.1,81.0,13.1,hourly,0,0,0,0,0,0,0
13,2025-10-24 08:17:35.886067,15.3,83.0,13.4,hourly,0,0,0,0,0,0,0
14,2025-10-24 08:17:35.886067,15.5,84.0,15.4,hourly,0,0,0,0,0,0,0
15,2025-10-24 08:17:35.886067,15.4,85.0,17.5,hourly,0,0,0,0,0,0,0
16,2025-10-24 08:17:35.886067,15.6,81.0,16.0,hourly,0,0,0,0,0,0,0
17,2025-10-24 08:17:35.886067,15.6,78.0,14.5,hourly,0,0,0,0,0,0,0
18,2025-10-24 08:17:35.886067,15.3,74.0,14.6,hourly,0,0,0,0,0,0,0
19,2025-10-24 08:17:35.886067,14.7,72.0,14.0,hourly,0,0,0,0,0,0,0
20,2025-10-24 08:17:35.886067,14.0,71.0,14.9,hourly,0,0,0,0,0,0,0
21,2025-10-24 08:17:35.886067,13.6,69.0,15.9,hourly,0,0,0,0,0,0,0
22,2025-10-24 08:17:35.886067,13.1,66.0,14.8,hourly,0,0,0,0,0,0,0
23,2025-10-24 08:17:35.886067,12.6,66.0,15.1,hourly,0,0,0,0,0,0,0
24,2025-10-24 08:17:35.886067,12.5,64.0,18.4,hourly,0,0,0,0,0,0,0
25,2025-10-24 08:17:35.886067,12.5,67.0,18.2,hourly,0,0,0,0,0,0,0
26,2025-10-24 08:17:35.886067,12.6,68.0,18.1,hourly,0,0,0,0,0,0,0
27,2025-10-24 08:17:35.886067,12.3,70.0,17.6,hourly,0,0,0,0,0,0,0
28,2025-10-24 08:17:35.886067,12.0,69.0,17.0,hourly,0,0,0,0,0,0,0
29,2025-10-24 08:17:35.886067,11.5,69.0,16.6,hourly,0,0,0,0,0,0,0
30,2025-10-24 08:17:35.886067,10.9,70.0,15.3,hourly,0,0,0,0,0,0,0
31,2025-10-24 08:17:35.886067,10.4,69.0,16.3,hourly,0,0,0,0,0,0,0
32,2025-10-24 08:17:35.886067,9.9,70.0,16.8,hourly,0,0,0,0,0,0,0
33,2025-10-24 08:17:35.886067,9.8,72.0,18.2,hourly,0,0,0,0,0,0,0
34,2025-10-24 08:17:35.886067,9.7,77.0,18.1,hourly,0,0,0,0,0,0,0
35,2025-10-24 08:17:35.886067,9.8,77.0,18.4,hourly,0,0,0,0,0,0,0
36,2025-10-24 08:17:35.886067,10.9,67.0,21.6,hourly,0,0,0,0,0,0,0
37,2025-10-24 08:17:35.886067,11.7,57.0,19.7,hourly,0,0,0,0,0,0,0
38,2025-10-24 08:17:35.886067,12.3,52.0,18.7,hourly,0,0,0,0,0,0,0
39,2025-10-24 08:17:35.886067,12.5,48.0,20.5,hourly,0,0,0,0,0,0,0
40,2025-10-24 08:17:35.886067,12.2,48.0,20.0,hourly,0,0,0,0,0,0,0
41,2025-10-24 08:17:35.886067,12.2,47.0,18.9,hourly,0,0,0,0,0,0,0
42,2025-10-24 08:17:35.886067,11.6,48.0,18.8,hourly,0,0,0,0,0,0,0
43,2025-10-24 08:17:35.886067,11.1,46.0,17.0,hourly,0,0,0,0,0,0,0
44,2025-10-24 08:17:35.886067,10.4,47.0,15.3,hourly,0,0,0,0,0,0,0
45,2025-10-24 08:17:35.886067,9.6,49.0,13.8,hourly,0,0,0,0,0,0,0
46,2025-10-24 08:17:35.886067,8.9,57.0,15.6,hourly,0,0,0,0,0,0,0
47,2025-10-24 08:17:35.886067,8.8,63.0,16.8,hourly,0,0,0,0,0,0,0
48,2025-10-24 08:17:35.886067,8.4,66.0,16.1,hourly,0,0,0,0,0,0,0
49,2025-10-24 08:17:35.886067,7.9,69.0,15.4,hourly,0,0,0,0,0,0,0
50,2025-10-24 08:17:35.886067,7.6,72.0,14.9,hourly,0,0,0,0,0,0,0
51,2025-10-24 08:17:35.886067,7.4,73.0,14.8,hourly,0,0,0,0,0,0,0
52,2025-10-24 08:17:35.886067,7.2,74.0,14.0,hourly,0,0,0,0,0,0,0
53,2025-10-24 08:17:35.886067,7.0,75.0,14.7,hourly,0,0,0,0,0,0,0
54,2025-10-24 08:17:35.886067,6.5,77.0,14.0,hourly,0,0,0,0,0,0,0
55,2025-10-24 08:17:35.886067,6.3,78.0,14.2,hourly,0,0,0,0,0,0,0
56,2025-10-24 08:17:35.886067,6.3,78.0,13.9,hourly,0,0,0,0,0,0,0
57,2025-10-24 08:17:35.886067,6.5,77.0,14.4,hourly,0,0,0,0,0,0,0
58,2025-10-24 08:17:35.886067,7.5,73.0,15.5,hourly,0,0,0,0,0,0,0
59,2025-10-24 08:17:35.886067,8.9,69.0,16.3,hourly,0,0,0,0,0,0,0
60,2025-10-24 08:17:35.886067,10.6,64.0,14.7,hourly,0,0,0,0,0,0,0
61,2025-10-24 08:17:35.886067,10.8,68.0,13.7,hourly,0,0,0,0,0,0,0
62,2025-10-24 08:17:35.886067,10.3,74.0,12.9,hourly,0,0,0,0,0,0,0
63,2025-10-24 08:17:35.886067,10.5,72.0,12.3,hourly,0,0,0,0,0,0,0
64,2025-10-24 08:17:35.886067,11.0,70.0,13.3,hourly,0,0,0,0,0,0,0
65,2025-10-24 08:17:35.886067,11.2,69.0,13.2,hourly,0,0,0,0,0,0,0
66,2025-10-24 08:17:35.886067,10.8,70.0,12.1,hourly,0,0,0,0,0,0,0
67,2025-10-24 08:17:35.886067,10.5,74.0,13.0,hourly,0,0,0,0,0,0,0
68,2025-10-24 08:17:35.886067,9.7,83.0,14.6,hourly,0,0,0,0,0,0,0
69,2025-10-24 08:17:35.886067,9.4,88.0,14.4,hourly,0,0,0,0,0,0,0
70,2025-10-24 08:17:35.886067,10.2,87.0,15.8,hourly,0,0,0,0,0,0,0
71,2025-10-24 08:17:35.886067,10.8,82.0,16.9,hourly,0,0,0,0,0,0,0
72,2025-10-24 08:17:35.886067,10.7,78.0,18.4,hourly,0,0,0,0,0,0,0
73,2025-10-24 08:17:35.886067,10.4,76.0,16.9,hourly,0,0,0,0,0,0,0
74,2025-10-24 08:17:35.886067,10.0,75.0,15.8,hourly,0,0,0,0,0,0,0
75,2025-10-24 08:17:35.886067,9.6,74.0,15.5,hourly,0,0,0,0,0,0,0
76,2025-10-24 08:17:35.886067,9.1,73.0,14.8,hourly,0,0,0,0,0,0,0
77,2025-10-24 08:17:35.886067,8.7,75.0,13.7,hourly,0,0,0,0,0,0,0
78,2025-10-24 08:17:35.886067,8.6,72.0,12.4,hourly,0,0,0,0,0,0,0
79,2025-10-24 08:17:35.886067,8.1,73.0,13.0,hourly,0,0,0,0,0,0,0
80,2025-10-24 08:17:35.886067,7.6,73.0,12.8,hourly,0,0,0,0,0,0,0
81,2025-10-24 08:17:35.886067,7.1,73.0,12.8,hourly,0,0,0,0,0,0,0
82,2025-10-24 08:17:35.886067,7.5,69.0,13.8,hourly,0,0,0,0,0,0,0
83,2025-10-24 08:17:35.886067,8.3,60.0,16.8,hourly,0,0,0,0,0,0,0
84,2025-10-24 08:17:35.886067,9.0,55.0,17.8,hourly,0,0,0,0,0,0,0
85,2025-10-24 08:17:35.886067,10.0,49.0,19.8,hourly,0,0,0,0,0,0,0
86,2025-10-24 08:17:35.886067,10.4,47.0,19.4,hourly,0,0,0,0,0,0,0
87,2025-10-24 08:17:35.886067,9.7,53.0,20.1,hourly,0,0,0,0,0,0,0
88,2025-10-24 08:17:35.886067,8.3,63.0,20.6,hourly,0,0,0,0,0,0,0
89,2025-10-24 08:17:35.886067,7.2,72.0,20.9,hourly,0,0,0,0,0,0,0
90,2025-10-24 08:17:35.886067,6.5,77.0,19.9,hourly,0,0,0,0,0,0,0
91,2025-10-24 08:17:35.886067,6.1,81.0,18.7,hourly,0,0,0,0,0,0,0
92,2025-10-24 08:17:35.886067,6.1,83.0,17.3,hourly,0,0,0,0,0,0,0
93,2025-10-24 08:17:35.886067,6.8,84.0,16.8,hourly,0,0,0,0,0,0,0
94,2025-10-24 08:17:35.886067,8.1,83.0,18.0,hourly,0,0,0,0,0,0,0
95,2025-10-24 08:17:35.886067,8.9,81.0,19.4,hourly,0,0,0,0,0,0,0
96,2025-10-24 08:17:35.886067,9.1,79.0,19.4,hourly,0,0,0,0,0,0,0
97,2025-10-24 08:17:35.886067,9.0,76.0,18.7,hourly,0,0,0,0,0,0,0
98,2025-10-24 08:17:35.886067,8.7,73.0,18.5,hourly,0,0,0,0,0,0,0
99,2025-10-24 08:17:35.886067,8.5,71.0,18.6,hourly,0,0,0,0,0,0,0
100,2025-10-24 08:17:35.886067,8.1,70.0,18.7,hourly,0,0,0,0,0,0,0
101,2025-10-24 08:17:35.886067,7.7,69.0,18.5,hourly,0,0,0,0,0,0,0
102,2025-10-24 08:17:35.886067,7.2,69.0,17.7,hourly,0,0,0,0,0,0,0
103,2025-10-24 08:17:35.886067,6.7,70.0,16.9,hourly,0,0,0,0,0,0,0
104,2025-10-24 08:17:35.886067,6.4,71.0,15.9,hourly,0,0,0,0,0,0,0
105,2025-10-24 08:17:35.886067,6.5,71.0,15.1,hourly,0,0,0,0,0,0,0
106,2025-10-24 08:17:35.886067,6.8,71.0,14.0,hourly,0,0,0,0,0,0,0
107,2025-10-24 08:17:35.886067,7.2,70.0,13.5,hourly,0,0,0,0,0,0,0
108,2025-10-24 08:17:35.886067,7.9,67.0,13.3,hourly,0,0,0,0,0,0,0
109,2025-10-24 08:17:35.886067,8.6,64.0,13.1,hourly,0,0,0,0,0,0,0
110,2025-10-24 08:17:35.886067,9.1,62.0,13.2,hourly,0,0,0,0,0,0,0
111,2025-10-24 08:17:35.886067,9.2,63.0,12.2,hourly,0,0,0,0,0,0,0
112,2025-10-24 08:17:35.886067,9.0,67.0,10.7,hourly,0,0,0,0,0,0,0
113,2025-10-24 08:17:35.886067,8.7,70.0,9.7,hourly,0,0,0,0,0,0,0
114,2025-10-24 08:17:35.886067,8.4,74.0,9.4,hourly,0,0,0,0,0,0,0
115,2025-10-24 08:17:35.886067,8.0,78.0,9.2,hourly,0,0,0,0,0,0,0
116,2025-10-24 08:17:35.886067,7.7,81.0,9.5,hourly,0,0,0,0,0,0,0
117,2025-10-24 08:17:35.886067,7.4,83.0,9.8,hourly,0,0,0,0,0,0,0
118,2025-10-24 08:17:35.886067,7.3,84.0,10.4,hourly,0,0,0,0,0,0,0
119,2025-10-24 08:17:35.886067,7.3,85.0,11.3,hourly,0,0,0,0,0,0,0
120,2025-10-24 08:17:35.886067,7.5,85.0,12.4,hourly,0,0,0,0,0,0,0
121,2025-10-24 08:17:35.886067,7.9,85.0,13.9,hourly,0,0,0,0,0,0,0
122,2025-10-24 08:17:35.886067,8.2,84.0,15.0,hourly,0,0,0,0,0,0,0
123,2025-10-24 08:17:35.886067,8.4,83.0,15.5,hourly,0,0,0,0,0,0,0
124,2025-10-24 08:17:35.886067,8.5,81.0,16.1,hourly,0,0,0,0,0,0,0
125,2025-10-24 08:17:35.886067,8.6,79.0,16.4,hourly,0,0,0,0,0,0,0
126,2025-10-24 08:17:35.886067,8.6,78.0,16.4,hourly,0,0,0,0,0,0,0
127,2025-10-24 08:17:35.886067,8.6,77.0,16.5,hourly,0,0,0,0,0,0,0
128,2025-10-24 08:17:35.886067,8.5,77.0,16.5,hourly,0,0,0,0,0,0,0
129,2025-10-24 08:17:35.886067,8.5,77.0,17.6,hourly,0,0,0,0,0,0,0
130,2025-10-24 08:17:35.886067,8.9,74.0,18.0,hourly,0,0,0,0,0,0,0
131,2025-10-24 08:17:35.886067,9.3,71.0,18.4,hourly,0,0,0,0,0,0,0
132,2025-10-24 08:17:35.886067,9.7,68.0,18.8,hourly,0,0,0,0,0,0,0
133,2025-10-24 08:17:35.886067,10.2,66.0,18.8,hourly,0,0,0,0,0,0,0
134,2025-10-24 08:17:35.886067,10.5,64.0,18.9,hourly,0,0,0,0,0,0,0
135,2025-10-24 08:17:35.886067,10.5,63.0,18.2,hourly,0,0,0,0,0,0,0
136,2025-10-24 08:17:35.886067,10.3,63.0,17.4,hourly,0,0,0,0,0,0,0
137,2025-10-24 08:17:35.886067,9.9,64.0,16.3,hourly,0,0,0,0,0,0,0
138,2025-10-24 08:17:35.886067,9.4,66.0,15.5,hourly,0,0,0,0,0,0,0
139,2025-10-24 08:17:35.886067,8.8,69.0,14.4,hourly,0,0,0,0,0,0,0
140,2025-10-24 08:17:35.886067,8.4,72.0,13.7,hourly,0,0,0,0,0,0,0
141,2025-10-24 08:17:35.886067,8.2,74.0,13.3,hourly,0,0,0,0,0,0,0
142,2025-10-24 08:17:35.886067,8.1,75.0,13.0,hourly,0,0,0,0,0,0,0
143,2025-10-24 08:17:35.886067,8.0,76.0,12.6,hourly,0,0,0,0,0,0,0
144,2025-10-24 08:17:35.886067,7.9,77.0,12.3,hourly,0,0,0,0,0,0,0
145,2025-10-24 08:17:35.886067,7.8,78.0,12.3,hourly,0,0,0,0,0,0,0
146,2025-10-24 08:17:35.886067,7.7,79.0,12.3,hourly,0,0,0,0,0,0,0
147,2025-10-24 08:17:35.886067,7.5,80.0,12.2,hourly,0,0,0,0,0,0,0
148,2025-10-24 08:17:35.886067,7.2,80.0,12.2,hourly,0,0,0,0,0,0,0
149,2025-10-24 08:17:35.886067,7.0,81.0,12.3,hourly,0,0,0,0,0,0,0
150,2025-10-24 08:17:35.886067,6.8,83.0,12.3,hourly,0,0,0,0,0,0,0
