id,time,temperature_2m,relative_humidity_2m,wind_speed_10m,data_type,relative_humidity_6m,temperature_4m,wind_speed_15m,temperature_5m,relative_humidity_4m,wind_speed_12m,temperature_7m
151,2025-10-24 08:17:35.886067,6.6,84.0,12.6,hourly,0,0,0,0,0,0,0
152,2025-10-24 08:17:35.886067,6.6,85.0,12.6,hourly,0,0,0,0,0,0,0
153,2025-10-24 08:17:35.886067,6.9,84.0,13.0,hourly,0,0,0,0,0,0,0
154,2025-10-24 08:17:35.886067,7.3,81.0,13.7,hourly,0,0,0,0,0,0,0
155,2025-10-24 08:17:35.886067,8.0,77.0,14.0,hourly,0,0,0,0,0,0,0
156,2025-10-24 08:17:35.886067,8.9,70.0,13.9,hourly,0,0,0,0,0,0,0
157,2025-10-24 08:17:35.886067,10.0,60.0,13.7,hourly,0,0,0,0,0,0,0
158,2025-10-24 08:17:35.886067,10.8,54.0,13.0,hourly,0,0,0,0,0,0,0
159,2025-10-24 08:17:35.886067,11.1,52.0,11.8,hourly,0,0,0,0,0,0,0
160,2025-10-24 08:17:35.886067,11.0,53.0,10.0,hourly,0,0,0,0,0,0,0
161,2025-10-24 08:17:35.886067,10.6,56.0,8.2,hourly,0,0,0,0,0,0,0
162,2025-10-24 08:17:35.886067,9.7,62.0,6.5,hourly,0,0,0,0,0,0,0
163,2025-10-24 08:17:35.886067,8.4,70.0,4.8,hourly,0,0,0,0,0,0,0
164,2025-10-24 08:17:35.886067,7.4,76.0,4.4,hourly,0,0,0,0,0,0,0
165,2025-10-24 08:17:35.886067,6.7,79.0,4.3,hourly,0,0,0,0,0,0,0
166,2025-10-24 08:17:35.886067,6.2,81.0,4.4,hourly,0,0,0,0,0,0,0
167,2025-10-24 08:17:35.886067,5.8,82.0,4.7,hourly,0,0,0,0,0,0,0
168,2025-10-24 08:17:35.886067,5.6,83.0,5.3,hourly,0,0,0,0,0,0,0
169,2025-10-24 08:17:35.886067,5.5,83.0,5.8,hourly,0,0,0,0,0,0,0
170,2025-10-23 12:30:00.000000,15.5,72.78859060402685,16.2,current,0,0,0,0,0,0,0
216,2025-10-24 08:17:35.886067,15.5,72.78859060402685,16.2,current,0,0,0,0,0,0,0
217,2025-10-24 08:17:35.886067,11.9,95.0,6.8,hourly,0,0,0,0,0,0,0
218,2025-10-24 08:17:35.886067,11.4,94.0,7.9,hourly,0,0,0,0,0,0,0
219,2025-10-23 02:00:00.000000,11.1,93.0,8.4,hourly,0,0,0,0,0,0,0
220,2025-10-24 08:17:35.886067,10.7,92.0,9.2,hourly,0,0,0,0,0,0,0
221,2025-10-24 08:17:35.886067,10.7,91.0,10.7,hourly,0,0,0,0,0,0,0
222,2025-10-24 08:17:35.886067,10.8,92.0,11.5,hourly,0,0,0,0,0,0,0
223,2025-10-24 08:17:35.886067,11.0,94.0,11.7,hourly,0,0,0,0,0,0,0
224,2025-10-24 08:17:35.886067,11.5,93.0,12.2,hourly,0,0,0,0,0,0,0
225,2025-10-24 08:17:35.886067,12.6,89.0,13.0,hourly,0,0,0,0,0,0,0
226,2025-10-24 08:17:35.886067,14.0,85.0,12.5,hourly,0,0,0,0,0,0,0
227,2025-10-24 08:17:35.886067,15.1,81.0,13.1,hourly,0,0,0,0,0,0,0
228,2025-10-24 08:17:35.886067,15.3,83.0,13.4,hourly,0,0,0,0,0,0,0
229,2025-10-24 08:17:35.886067,15.5,84.0,15.4,hourly,0,0,0,0,0,0,0
230,2025-10-24 08:17:35.886067,15.4,85.0,17.5,hourly,0,0,0,0,0,0,0
231,2025-10-24 08:17:35.886067,15.6,81.0,16.0,hourly,0,0,0,0,0,0,0
232,2025-10-24 08:17:35.886067,15.6,78.0,14.5,hourly,0,0,0,0,0,0,0
233,2025-10-24 08:17:35.886067,15.3,74.0,14.6,hourly,0,0,0,0,0,0,0
234,2025-10-24 08:17:35.886067,14.7,72.0,14.0,hourly,0,0,0,0,0,0,0
235,2025-10-24 08:17:35.886067,14.0,71.0,14.9,hourly,0,0,0,0,0,0,0
236,2025-10-24 08:17:35.886067,13.6,69.0,15.9,hourly,0,0,0,0,0,0,0
237,2025-10-24 08:17:35.886067,13.1,66.0,14.8,hourly,0,0,0,0,0,0,0
238,2025-10-24 08:17:35.886067,12.6,66.0,15.1,hourly,0,0,0,0,0,0,0
239,2025-10-24 08:17:35.886067,12.5,64.0,18.4,hourly,0,0,0,0,0,0,0
240,2025-10-24 08:17:35.886067,12.5,67.0,18.2,hourly,0,0,0,0,0,0,0
241,2025-10-24 08:17:35.886067,12.6,68.0,18.1,hourly,0,0,0,0,0,0,0
242,2025-10-24 08:17:35.886067,12.3,70.0,17.6,hourly,0,0,0,0,0,0,0
243,2025-10-24 08:17:35.886067,12.0,69.0,17.0,hourly,0,0,0,0,0,0,0
244,2025-10-24 08:17:35.886067,11.5,69.0,16.6,hourly,0,0,0,0,0,0,0
245,2025-10-24 08:17:35.886067,10.9,70.0,15.3,hourly,0,0,0,0,0,0,0
246,2025-10-24 08:17:35.886067,10.4,69.0,16.3,hourly,0,0,0,0,0,0,0
247,2025-10-24 08:17:35.886067,9.9,70.0,16.8,hourly,0,0,0,0,0,0,0
248,2025-10-24 08:17:35.886067,9.8,72.0,18.2,hourly,0,0,0,0,0,0,0
249,2025-10-24 08:17:35.886067,9.7,77.0,18.1,hourly,0,0,0,0,0,0,0
250,2025-10-24 08:17:35.886067,9.8,77.0,18.4,hourly,0,0,0,0,0,0,0
251,2025-10-24 08:17:35.886067,10.9,67.0,21.6,hourly,0,0,0,0,0,0,0
252,2025-10-24 08:17:35.886067,11.7,57.0,19.7,hourly,0,0,0,0,0,0,0
253,2025-10-24 08:17:35.886067,12.3,52.0,18.7,hourly,0,0,0,0,0,0,0
254,2025-10-24 08:17:35.886067,12.5,48.0,20.5,hourly,0,0,0,0,0,0,0
255,2025-10-24 08:17:35.886067,12.2,48.0,20.0,hourly,0,0,0,0,0,0,0
256,2025-10-24 08:17:35.886067,12.2,47.0,18.9,hourly,0,0,0,0,0,0,0
257,2025-10-24 08:17:35.886067,11.6,48.0,18.8,hourly,0,0,0,0,0,0,0
258,2025-10-24 08:17:35.886067,11.1,46.0,17.0,hourly,0,0,0,0,0,0,0
259,2025-10-24 08:17:35.886067,10.4,47.0,15.3,hourly,0,0,0,0,0,0,0
260,2025-10-24 08:17:35.886067,9.6,49.0,13.8,hourly,0,0,0,0,0,0,0
261,2025-10-24 08:17:35.886067,8.9,57.0,15.6,hourly,0,0,0,0,0,0,0
262,2025-10-24 08:17:35.886067,8.8,63.0,16.8,hourly,0,0,0,0,0,0,0
263,2025-10-24 08:17:35.886067,8.4,66.0,16.1,hourly,0,0,0,0,0,0,0
264,2025-10-24 08:17:35.886067,7.9,69.0,15.4,hourly,0,0,0,0,0,0,0
265,2025-10-24 08:17:35.886067,7.6,72.0,14.9,hourly,0,0,0,0,0,0,0
266,2025-10-24 08:17:35.886067,7.4,73.0,14.8,hourly,0,0,0,0,0,0,0
267,2025-10-24 08:17:35.886067,7.2,74.0,14.0,hourly,0,0,0,0,0,0,0
268,2025-10-24 08:17:35.886067,7.0,75.0,14.7,hourly,0,0,0,0,0,0,0
269,2025-10-24 08:17:35.886067,6.5,77.0,14.0,hourly,0,0,0,0,0,0,0
270,2025-10-24 08:17:35.886067,6.3,78.0,14.2,hourly,0,0,0,0,0,0,0
271,2025-10-24 08:17:35.886067,6.3,78.0,13.9,hourly,0,0,0,0,0,0,0
272,2025-10-24 08:17:35.886067,6.5,77.0,14.4,hourly,0,0,0,0,0,0,0
273,2025-10-24 08:17:35.886067,7.5,73.0,15.5,hourly,0,0,0,0,0,0,0
274,2025-10-24 08:17:35.886067,8.9,69.0,16.3,hourly,0,0,0,0,0,0,0
275,2025-10-24 08:17:35.886067,10.6,64.0,14.7,hourly,0,0,0,0,0,0,0
276,2025-10-24 08:17:35.886067,10.8,68.0,13.7,hourly,0,0,0,0,0,0,0
277,2025-10-24 08:17:35.886067,10.3,74.0,12.9,hourly,0,0,0,0,0,0,0
278,2025-10-24 08:17:35.886067,10.5,72.0,12.3,hourly,0,0,0,0,0,0,0
279,2025-10-24 08:17:35.886067,11.0,70.0,13.3,hourly,0,0,0,0,0,0,0
280,2025-10-24 08:17:35.886067,11.2,69.0,13.2,hourly,0,0,0,0,0,0,0
281,2025-10-24 08:17:35.886067,10.8,70.0,12.1,hourly,0,0,0,0,0,0,0
282,2025-10-24 08:17:35.886067,10.5,74.0,13.0,hourly,0,0,0,0,0,0,0
283,2025-10-24 08:17:35.886067,9.7,83.0,14.6,hourly,0,0,0,0,0,0,0
284,2025-10-24 08:17:35.886067,9.4,88.0,14.4,hourly,0,0,0,0,0,0,0
285,2025-10-24 08:17:35.886067,10.2,87.0,15.8,hourly,0,0,0,0,0,0,0
286,2025-10-24 08:17:35.886067,10.8,82.0,16.9,hourly,0,0,0,0,0,0,0
287,2025-10-24 08:17:35.886067,10.7,78.0,18.4,hourly,0,0,0,0,0,0,0
288,2025-10-24 08:17:35.886067,10.4,76.0,16.9,hourly,0,0,0,0,0,0,0
289,2025-10-24 08:17:35.886067,10.0,75.0,15.8,hourly,0,0,0,0,0,0,0
290,2025-10-24 08:17:35.886067,9.6,74.0,15.5,hourly,0,0,0,0,0,0,0
291,2025-10-24 08:17:35.886067,9.1,73.0,14.8,hourly,0,0,0,0,0,0,0
292,2025-10-24 08:17:35.886067,8.7,75.0,13.7,hourly,0,0,0,0,0,0,0
293,2025-10-24 08:17:35.886067,8.6,72.0,12.4,hourly,0,0,0,0,0,0,0
294,2025-10-24 08:17:35.886067,8.1,73.0,13.0,hourly,0,0,0,0,0,0,0
295,2025-10-24 08:17:35.886067,7.6,73.0,12.8,hourly,0,0,0,0,0,0,0
296,2025-10-24 08:17:35.886067,7.1,73.0,12.8,hourly,0,0,0,0,0,0,0
297,2025-10-24 08:17:35.886067,7.5,69.0,13.8,hourly,0,0,0,0,0,0,0
298,2025-10-24 08:17:35.886067,8.3,60.0,16.8,hourly,0,0,0,0,0,0,0
299,2025-10-24 08:17:35.886067,9.0,55.0,17.8,hourly,0,0,0,0,0,0,0
300,2025-10-24 08:17:35.886067,10.0,49.0,19.8,hourly,0,0,0,0,0,0,0
301,2025-10-24 08:17:35.886067,10.4,47.0,19.4,hourly,0,0,0,0,0,0,0
302,2025-10-24 08:17:35.886067,9.7,53.0,20.1,hourly,0,0,0,0,0,0,0
303,2025-10-24 08:17:35.886067,8.3,63.0,20.6,hourly,0,0,0,0,0,0,0
304,2025-10-24 08:17:35.886067,7.2,72.0,20.9,hourly,0,0,0,0,0,0,0
305,2025-10-24 08:17:35.886067,6.5,77.0,19.9,hourly,0,0,0,0,0,0,0
306,2025-10-24 08:17:35.886067,6.1,81.0,18.7,hourly,0,0,0,0,0,0,0
307,2025-10-24 08:17:35.886067,6.1,83.0,17.3,hourly,0,0,0,0,0,0,0
308,2025-10-24 08:17:35.886067,6.8,84.0,16.8,hourly,0,0,0,0,0,0,0
309,2025-10-24 08:17:35.886067,8.1,83.0,18.0,hourly,0,0,0,0,0,0,0
310,2025-10-24 08:17:35.886067,8.9,81.0,19.4,hourly,0,0,0,0,0,0,0
311,2025-10-24 08:17:35.886067,9.1,79.0,19.4,hourly,0,0,0,0,0,0,0
312,2025-10-24 08:17:35.886067,9.0,76.0,18.7,hourly,0,0,0,0,0,0,0
313,2025-10-24 08:17:35.886067,8.7,73.0,18.5,hourly,0,0,0,0,0,0,0
314,2025-10-24 08:17:35.886067,8.5,71.0,18.6,hourly,0,0,0,0,0,0,0
315,2025-10-24 08:17:35.886067,8.1,70.0,18.7,hourly,0,0,0,0,0,0,0
316,2025-10-24 08:17:35.886067,7.7,69.0,18.5,hourly,0,0,0,0,0,0,0
317,2025-10-24 08:17:35.886067,7.2,69.0,17.7,hourly,0,0,0,0,0,0,0
318,2025-10-24 08:17:35.886067,6.7,70.0,16.9,hourly,0,0,0,0,0,0,0
319,2025-10-24 08:17:35.886067,6.4,71.0,15.9,hourly,0,0,0,0,0,0,0
320,2025-10-24 08:17:35.886067,6.5,71.0,15.1,hourly,0,0,0,0,0,0,0
321,2025-10-24 08:17:35.886067,6.8,71.0,14.0,hourly,0,0,0,0,0,0,0
322,2025-10-24 08:17:35.886067,7.2,70.0,13.5,hourly,0,0,0,0,0,0,0
323,2025-10-24 08:17:35.886067,7.9,67.0,13.3,hourly,0,0,0,0,0,0,0
324,2025-10-24 08:17:35.886067,8.6,64.0,13.1,hourly,0,0,0,0,0,0,0
325,2025-10-24 08:17:35.886067,9.1,62.0,13.2,hourly,0,0,0,0,0,0,0
326,2025-10-24 08:17:35.886067,9.2,63.0,12.2,hourly,0,0,0,0,0,0,0
327,2025-10-24 08:17:35.886067,9.0,67.0,10.7,hourly,0,0,0,0,0,0,0
328,2025-10-24 08:17:35.886067,8.7,70.0,9.7,hourly,0,0,0,0,0,0,0
329,2025-10-24 08:17:35.886067,8.4,74.0,9.4,hourly,0,0,0,0,0,0,0
330,2025-10-24 08:17:35.886067,8.0,78.0,9.2,hourly,0,0,0,0,0,0,0
331,2025-10-24 08:17:35.886067,7.7,81.0,9.5,hourly,0,0,0,0,0,0,0
332,2025-10-24 08:17:35.886067,7.4,83.0,9.8,hourly,0,0,0,0,0,0,0
333,2025-10-24 08:17:35.886067,7.3,84.0,10.4,hourly,0,0,0,0,0,0,0
334,2025-10-24 08:17:35.886067,7.3,85.0,11.3,hourly,0,0,0,0,0,0,0
335,2025-10-24 08:17:35.886067,7.5,85.0,12.4,hourly,0,0,0,0,0,0,0
336,2025-10-24 08:17:35.886067,7.9,85.0,13.9,hourly,0,0,0,0,0,0,0
337,2025-10-24 08:17:35.886067,8.2,84.0,15.0,hourly,0,0,0,0,0,0,0
338,2025-10-24 08:17:35.886067,8.4,83.0,15.5,hourly,0,0,0,0,0,0,0
339,2025-10-24 08:17:35.886067,8.5,81.0,16.1,hourly,0,0,0,0,0,0,0
340,2025-10-24 08:17:35.886067,8.6,79.0,16.4,hourly,0,0,0,0,0,0,0
341,2025-10-24 08:17:35.886067,8.6,78.0,16.4,hourly,0,0,0,0,0,0,0
342,2025-10-24 08:17:35.886067,8.6,77.0,16.5,hourly,0,0,0,0,0,0,0
343,2025-10-24 08:17:35.886067,8.5,77.0,16.5,hourly,0,0,0,0,0,0,0
344,2025-10-24 08:17:35.886067,8.5,77.0,17.6,hourly,0,0,0,0,0,0,0
345,2025-10-24 08:17:35.886067,8.9,74.0,18.0,hourly,0,0,0,0,0,0,0
346,2025-10-24 08:17:35.886067,9.618333333333334,74.0,14.867999999999999,hourly,0,0,0,0,0,0,0
